,Unnamed: 0,type,epoch,top1,top5,loss,time,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
109,29,test,14,0.4766,0.8811,0.0064339403867721,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
110,30,train,15,0.4722,0.8720333333333333,0.0065013945698738,4.2,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
111,31,test,15,0.4798,0.8792,0.0064309941649436,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
112,32,train,16,0.4697166666666666,0.8735333333333334,0.0064947458446025,4.1,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
113,33,test,16,0.4785,0.8794,0.0064296042919158,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
114,34,train,17,0.4729666666666666,0.8709166666666667,0.0064921727021535,4.0,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
115,35,test,17,0.4789,0.878,0.0064218247890472,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
116,36,train,18,0.4709333333333333,0.8746,0.0064911347687244,4.2,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
117,37,test,18,0.4781,0.881,0.0064194554328918,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
118,38,train,19,0.4714,0.8741166666666667,0.0064838040252526,4.1,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
119,39,test,19,0.4767,0.8796,0.0064128468632698,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
